Model or Concept,Author/Source Document,Key Components,Target Language,Primary Function,Structural Levels,Source
Syllabo-tonic Versification,V. K. Trediakovsky; M. V. Lomonosov; M. L. Gasparov,"Alternation of stressed and unstressed syllables, metric feet (iamb, trochee, etc.), constant inter-ictic intervals","Russian, German, Czech",Measuring verse by fixed feet and alternating prominence; transition from syllabic to foot-based measurement,"Syllable, foot, hemistich, line, stanza","1, 2, 3, 4, 5"
Iambic Pentameter,W. Shakespeare; J. Milton; Hanson & Kiparsky; N. Gerber; S. Wolosky,"Ten syllables, five accented beats (wS pattern), resolution, stress distribution rules",English,Organizing lyrical material and defining the poetic line through a sustainable rhythmic mode,"Syllable, foot, line, quatrain, couplet","6, 7, 8, 9, 10, 11, 12-15"
Dolnik,M. L. Gasparov; M. Tarlinskaja; D. Attridge; S. M. Bondi; V. E. Kholshevnikov,"Variable inter-stress intervals (usually 1-2 syllables), anacrusis (0-2 syllables)","Russian, English, German",Categorizing transitional verse forms between strict syllabo-tonic and accentual verse,"Syllable, ictus, inter-ictic interval, line","16, 17, 2, 3, 18, 19, 20, 21, 22, 23, 24"
Syllabic Versification,Simeon Polotsky; A. A. Ilyushin; V. E. Kholshevnikov,"Isosyllabism (fixed syllable count), fixed caesura, rhyme","Polish, French, Old Russian, Church Slavonic",Organizing verse by equal syllable counts regardless of stress patterns,"Syllable, hemistich, line, clausula","1, 16, 6, 3, 8, 25, 26"
Pure Tonic (Accentual) Verse,M. L. Gasparov; A. Kh. Vostokov; I. A. Pilshchikov; B. Tomashevsky,"Constant number of stresses per line, wide fluctuations in inter-stress intervals (0-8 syllables)","Russian, English, German, Hebrew, Yiddish",Rhythmic regulation based solely on stress count per line/stanza,"Verse line, stress, stanza, metro-forming period","16, 17, 3, 8, 27, 25, 28, 23"
Autosegmental-Metrical (AM) theory,Amalia Arvaniti; Janet Fletcher,"L and H tones, pitch accents, edge tones, metrical structure","English, Greek, German, Catalan, Arabic, Dutch, others",Modeling the phonological representation of intonation and its phonetic implementation,"Phonological utterance, IP, ip, AP, prosodic word, foot, syllable, mora",29
Generative Metrics,M. Halle; N. Fabb; S. J. Keyser; P. Kiparsky; B. Hayes,"Metrical grids, iterative rules, stress-maximum principle, correspondence rules","English, Russian, Spanish, German, Finnish",Establishing explicit conditions for metrical well-formedness and membership in verse sets,"Syllable, grid level, foot, line","1, 30, 6, 31, 32, 33, 19, 34, 35, 12-14, 36, 37, 38"
Sprung Rhythm,Gerard Manley Hopkins; D. Attridge; P. Kiparsky,"One stress per foot (lead stress), variable slack syllables, outrides, heavy stresses",English,Reflecting individual spiritual significance and dynamic speech qualities through rhythmic intensity,"Syllable, stress group, foot, line","8, 39, 40, 41, 10, 11, 42, 43, 44"
Metrical Phonology / Hierarchical Model,M. Liberman; A. Prince,"Strong (S) and Weak (W) positions, metrical trees/grids, hierarchical nodes",English,Defining stress as a phonological process relating strong and weak positions,"Syllable, foot, word, phonological phrase","1, 45, 46, 47"
Quantitative Metrics,Ancient Greek/Latin authors; K. Shapiro; R. Beum,"Syllable weight (long/short), mora, caesura, duration","Ancient Greek, Latin",Structuring verse based on the duration (quantity) of syllables,"Mora, syllable, foot, colon, line","1, 6, 5, 48"
Taktovik (Taktonik verse),M. L. Gasparov; A. P. Kvyatkovsky,"Inter-ictus intervals (1-3 syllables), rhythmic modifications of the crata, variable durations",Russian,Rhythmic analysis of 20th-century verse between dolnik and accentual forms,"Syllable, ictus, inter-ictus interval, tact, line","17, 2, 18"
Rhythmic Phrasing (Theory of Prolongation),Richard Cureton,"Meter, Grouping, Prolongation (anticipation, arrival, extension)",English,"Comprehending all aspects of poem language as events in time, especially in free verse","Phonetic/syntactical phrase, line, peak of prominence","6, 49, 50"
Mora-timing theory,Han (1962); Port et al. (1987); N. S. Trubetzkoy,"Mora duration, strict temporal intervals, weight-bearing units","Japanese, Ancient Greek, Latin",Defining rhythm based on units of weight rather than syllables or stress,"Mora, syllable","45, 51, 48"
Pairwise Variability Index (PVI / nPVI),Grabe and Low (2002); Cliff Miller; Aaron Carter-Ényì,"Duration of vocalic and intervocalic intervals, adjacent syllable contrast",Multilingual (18+ languages),Measuring speech rhythm and classifying languages along a timing continuum,"Phoneme, Syllable","45, 52, 53"
"Rhythmic indices (  $\Delta$  V, %V,  $\Delta$  C)","Ramus, Nespor, and Mehler (1999)","Proportion of vocalic intervals (%V), standard deviation of intervocalic intervals ( $\Delta$ C)","French, English, Italian, Spanish, etc.","Distinguishing between stress-timed, syllable-timed, and mora-timed languages",Vocalic and intervocalic intervals,45
SPARSAR,Rodolfo Delmonte; Anton Maria Prati,"Acoustic duration,  $f_0$ , word-stress, rhyming schemes, sentiment analysis","English, Italian",Automatic analysis of poetic style and production of expressive prosody for TTS,"Phoneme, syllable, foot, line, stanza, discourse","54, 55, 56"
Symmetric and Asymmetric Constructions,N. A. Kozhevnikova,"Syntactic/lexical repetition, anaphora, chiasmus",Russian,Comparing balanced structures (geometry of syntax) with purposeful violations,"Hemistich, verse line, couplet, stanza",57
Theory of the Organic Image,S. A. Yesenin,"Metaphor, verbal ornament, graphological-symbolic meaning of letters",Russian,"Connecting the material world with sound symbols; revealing ""internal grammar""","Line, letter, sound, word, image",58
Vers Libre (Free Verse) / Verse line segmentation,M. L. Gasparov; T. V. Skulacheva; M. I. Shapir,"Syntactic pause, line division (stichorazdel), lack of traditional meter","Russian, German, English, French",Focusing attention on verse line breaks as the primary distinction from prose,"Verse line, word segment, sentence","57, 59"
Logaoedes (Logaoedic size),M. L. Gasparov; P. A. Rudnev; M. V. Lomonosov,"Mixed feet sequence (e.g., trochees/dactyls) constant in same positions across lines",Russian,Transitional form between syllabo-tonic and dolnik; strict organization with heterogeneous units,"Metric row, inter-stress interval, strophe, line","16, 3, 60"
Tactometric Theory,A. M. Kubarev,"Tactus (beats), ikts (metrical stress), pauses",Russian,Musical-tactile analysis of verse structures and harmonization with ancient principles,"Tact (beat), line, syllable","1, 61"
Russian Iambic Verse (National Form),V. M. Zhirmunsky,"Binary alternation, rhythmic inertia, skipping of metric stresses (pyrrhics)",Russian,Analyzing the relationship between linguistic laws and rhythmic diversity,"Metric stress, syllable, word volume",16
German Iambic Verse,V. M. Zhirmunsky,"Binary alternation, high regularity of stresses, secondary stress (Nebenton)",German,Comparing rhythmic regularity against linguistic word-length averages,"Main stress, secondary stress, syllable",16
Segmental Anchoring Hypothesis,Arvaniti and Ladd,"$f_0$  movement onsets/offsets, segmental landmarks","Greek, Dutch, English, German, Spanish, others",Hypothesizing that tonal targets anchor onto landmarks regardless of speech rate,"Segment, Syllable",29
Contrast Theory,Oliver Niebuhr,"Acoustic parameters (timing, shape, slope), perceived prominence",German,Explaining how realization strategies enhance phonological contrasts,"Syllable, Vowel",29
Oscillatory System Model / Elastic Beam,Gennady Miropolsky,"Differential equations of vibrations, fundamental frequency, pseudo-elastic forces, Hooke's Law",Russian,Mathematical/physical analysis of stress distribution and metric forces,"Syllable, foot, line, stanza","62, 63, 64"
Graphematic Hierarchy,Primus; Evertz,"Graphematic foot, graphematic syllable, letters, letter features","English, German",Graphematic counterpart to the phonological hierarchy,"Graphematic word, foot, syllable, segment",47
International Phonetic Alphabet (IPA),Phonetic Teachers’ Association,"Signs for world languages, suprasegmental symbols",All known World languages,Transcription of phonetic details; accurate reproduction of vocal works,"Phoneme, allophone, word boundaries, stress","65, 66"
Stochastic Maxent Grammar,Hayes and Moore-Cantwell,"Inviolable/violable constraints, assigned probabilities",English,Minimizing scansion ambiguity and predicting preferred metrical parsing,"Phonological phrasing, stress, syllable weight",40
Neurocognitive Poetics (N400 Factor),Arthur M. Jacobs; Durs Grünbein,"Event-related potentials (ERPs), cerebral currents, cognitive fluency",German,Measuring physiological and biochemical responses to rhythmic regularity,"Phoneme, lexical unit, line",30
Parallelism of members,Robert Lowth; Roman Jakobson,"Equivalence, resemblance (synonymic/antithetic/synthetic), grammatical patterns","Biblical Hebrew, Universal",Describing resemblance between verses as a metrics of meaning and semiotic phenomenon,"Phoneme, word, syntax, clause, verse","57, 28, 67"
Arud (Classical Arabic Metrics),al-Khalil ibn Ahmad al-Farahidi,"Sabab, Watid, Harf; circular derivation of patterns",Arabic,Deductive system of rules for classical versification,"Harf, syllable groups, foot, abstract meter",35
Tone-Stress Principle,Liberman; Goldsmith; Duanmu,"Stress, lexical tone",Chinese,Defining relationship between stress and tone assignment (stressed carry tone),Syllable,29
Mitausdruck (Co-expression),Friedrich Gottlieb Klopstock,"Zeitausdruck (duration), Tonverhalt (accent relation), movement",German,Establishing a feedback loop where verse movement supports semantic passions,"Syllable, word feet, line, strophe",30
Kantian Metrics,Gottfried Hermann,"Causality, reciprocal effects, ictus, arsis and thesis",Ancient Greek,Developing universal a priori laws of rhythm from philosophical principles,"Time units, rows, strophes",30
Physiological Metrics,Ernst Brücke,"Glottis pressure, muscle movement, air flow, time intervals",German,Analyzing bound speech as a natural-scientific object using empirical measurements,"Consonant sounds, syllables, pulses",30
Metrical Hierarchy / Metrical Template,Pilshchikov; Starostin,"Degree of metrical freedom, variability of intervals, binary syllable designations",Russian,Ranking metrical hypotheses by probability for automatic recognition,"Syllable, line, text-wide",68
Back-structuring / Perception Theory,Reuven Tsur,"Gestalt borders, closure, short-term memory capacity (magic seven)","English, Swedish",Explaining how temporal gestalts are grasped backwards upon closure,"Syllable, phrase, line, stanza","50, 69"
Syllabocentric concept,G. V. Vekshin,"Phonosyllabeme, potential syllable, equifony, metaphony","Russian, English, Latin",Measuring sound connectivity and automatic detection of repetitions,"Phonosyllabeme, segment, word, line","70, 71"
Circle Meters (Al-Khalil),Al-Khalil; Danila Gomulkin,"Circle 1-5, alternation of 3 and 4 syllable feet, syncope",Arabic,"Categorizing variations of meters (radjaz, ramal, etc.)","Tact, foot, circle",72
Absolute Rhythm,Ezra Pound,"Sequence of musical phrase, uncounterfeitable emotion",English,"Breaking the ""metronome"" of iambic pentameter for organic beauty","Musical phrase, image",73
Semantic Halo of Meter,M. L. Gasparov; Taranovsky; Šeļa; Plecháč,"Latent topics, metrical labels, historical reputation","Russian, Czech, German, Dutch, English",Analyzing the non-random association between specific meters and themes,"Meter, theme, topic, poem","74, 75, 76"
Grammetrics,Enikő Bollobás; P. J. Wexler,"Scissoring points, coincidence of units, metering and sentencing",English,Analyzing the relationship between prosodic and grammatical units,"Foot, line, sentence, clause, phrase",77
PENTA model,Yi Xu,"Fundamental frequency ( $f_0$ ), pitch",Chinese (Mandarin),Function-based approach to modeling  $f_0$  through parallel encoding,Not in source,29
Fujisaki model,Fujisaki and Hirose,"Excitation pulses,  $f_0$  contours",Japanese,Mathematical implementation for automatic synthesis/recognition of  $f_0$,Not in source,29
IPO model,'t Hart et al.,"$f_0$  levels, rises, falls, plateaux",Dutch,Determining which contours sound the same using straight-line approximations,Not in source,29